City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
297,Mantua,IT,45.1667,10.7833,48.99,96,75,1.99,broken clouds
298,Lakes Entrance,AU,-37.8811,147.981,64.99,58,38,1.99,scattered clouds
299,Bereda,ES,43.2686,-7.5406,48.99,100,100,8.99,light rain
300,Araouane,ML,18.9048,-3.5265,63.07,27,83,11.36,broken clouds
301,Ust-Kuyga,RU,70.0167,135.6,-28.44,80,17,1.34,few clouds
302,Naze,JP,28.3667,129.4833,60.8,63,40,5.75,scattered clouds
303,Port-Gentil,GA,-0.7193,8.7815,77.0,94,20,3.44,few clouds
304,Carnarvon,AU,-24.8667,113.6333,77.0,100,7,8.05,clear sky
305,Akodia,IN,23.3833,76.6,53.06,41,0,4.03,clear sky
306,Bathurst,AU,-33.4166,149.5806,73.0,57,57,3.0,broken clouds
307,Tangi,PK,34.3006,71.6536,51.8,71,40,4.61,haze
308,Sergach,RU,55.5308,45.4661,-16.83,87,25,10.76,scattered clouds
309,Pochutla,MX,15.7432,-96.4661,84.2,65,75,11.5,broken clouds
310,Nelson Bay,AU,-32.7167,152.15,75.0,64,75,19.57,broken clouds
311,Ambilobe,MG,-13.2,49.05,74.68,91,97,1.74,overcast clouds
312,Otradnoye,RU,59.7775,30.8181,17.6,86,90,13.42,light snow
313,Baherden,TM,38.4362,57.4316,53.92,64,100,5.48,overcast clouds
314,Townsville,AU,-19.25,146.8,87.8,74,40,5.75,scattered clouds
315,Sitka,US,57.0531,-135.33,35.6,30,40,6.91,scattered clouds
316,Umm Kaddadah,SD,13.6017,26.6876,61.45,30,0,14.45,clear sky
317,Sinegorye,RU,62.0788,150.477,-6.23,86,100,8.41,overcast clouds
318,Luis Correia,BR,-2.8792,-41.6669,80.01,83,5,10.56,clear sky
319,Cabra,ES,37.4725,-4.4421,48.99,82,98,1.01,overcast clouds
320,Caiaponia,BR,-16.9567,-51.8103,69.31,90,12,3.42,few clouds
321,Hamada,JP,34.8833,132.0833,46.4,57,75,16.11,broken clouds
322,Ranong,TH,9.9658,98.6348,78.8,78,20,10.36,few clouds
323,Horsham,GB,51.064,-0.3272,28.99,80,40,14.97,scattered clouds
324,Tateyama,JP,34.9833,139.8667,46.4,53,40,11.5,scattered clouds
325,Komsomolskiy,UZ,40.4272,71.7189,42.8,75,99,9.22,mist
326,Nikki,BJ,9.9401,3.2108,75.78,22,66,3.47,broken clouds
327,Baker City,US,44.7749,-117.8344,42.8,42,1,12.66,clear sky
328,Yenagoa,NG,4.9247,6.2642,79.92,86,85,5.19,overcast clouds
329,Volga,RU,57.9516,38.3879,-14.6,88,0,6.06,clear sky
330,Tabou,CI,4.423,-7.3528,78.85,90,78,6.91,broken clouds
331,Chumphon,TH,10.3333,98.8333,78.8,78,20,10.36,few clouds
332,San Cristobal,VE,7.7669,-72.225,84.2,51,40,13.8,scattered clouds
333,Mpongwe,ZM,-13.5091,28.155,66.56,97,100,3.33,moderate rain
334,Arlit,NE,18.7369,7.3853,69.85,18,100,6.02,overcast clouds
335,Andover,GB,51.2083,-1.4825,32.0,80,75,19.57,broken clouds
336,Yvetot,FR,49.6174,0.7581,32.0,93,90,6.91,overcast clouds
337,Atar,MR,20.5169,-13.0499,58.53,37,0,8.99,clear sky
338,Williston,US,48.147,-103.618,-7.01,64,97,1.99,overcast clouds
339,Havre-Saint-Pierre,CA,50.2334,-63.5986,19.4,79,1,11.5,clear sky
340,Khambhat,IN,22.3,72.6167,62.42,32,0,8.21,clear sky
341,Noumea,NC,-22.2763,166.4572,84.2,65,0,5.75,clear sky
342,Carutapera,BR,-1.195,-46.02,76.6,92,13,5.91,moderate rain
343,Cabo San Lucas,MX,22.8909,-109.9124,71.6,53,20,5.75,few clouds
344,Nioro,GM,13.35,-15.75,74.97,18,83,9.33,broken clouds
